Name,Group,Release,Daily,Weekly,Description
FlashTest.flash_tool_0009(),,,,Yes,"Shell下只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0010(),,,,Yes,"Shell下只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0012(),,Yes,,Yes,Shell下工具锁住，BIOS刷新失败测试
FlashTest.flash_tool_0013(),,Yes,,Yes,Shell下解锁后保留刷新BIOS
FlashTest.flash_tool_0014(),,,,Yes,Shell下解锁后完全刷新BIOS
FlashTest.flash_tool_0015(),,Yes,,Yes,Shell下解锁BIOS，刷新同时备份BIOS
FlashTest.flash_tool_0016(),,Yes,,Yes,"Shell下解锁BIOS，只保留Setup,更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0017(),,,,Yes,"Shell下解锁BIOS，只保留SMBIOS,更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0019(),,Yes,,Yes,Shell下设置管理员密码，保留升级BIOS
FlashTest.flash_tool_0020(),,Yes,,Yes,Shell下设置管理员密码，保留降级BIOS
FlashTest.flash_tool_0021(),,,,Yes,Shell下设置管理员密码，完全升级BIOS
FlashTest.flash_tool_0022(),,,,Yes,Shell下设置管理员密码，完全降级BIOS
FlashTest.flash_tool_0023(),,Yes,,Yes,"Shell下设置管理员只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0024(),,Yes,,Yes,"Shell下设置管理员密码只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0025(),,,,Yes,"Shell下设置管理员密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0026(),,,,Yes,"Shell下设置管理员密码只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0028(),,Yes,,Yes,"Shell下设置管理员密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0029(),,Yes,,Yes,Shell下设置用户密码，保留升级BIOS
FlashTest.flash_tool_0030(),,Yes,,Yes,Shell下设置用户密码，保留降级BIOS
FlashTest.flash_tool_0031(),,,,Yes,Shell下设置用户密码，完全升级BIOS
FlashTest.flash_tool_0032(),,,,Yes,Shell下设置用户密码，完全降级BIOS
FlashTest.flash_tool_0033(),,Yes,,Yes,"Shell下设置用户只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0034(),,Yes,,Yes,"Shell下设置用户密码只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0035(),,,,Yes,"Shell下设置用户密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0036(),,,,Yes,"Shell下设置用户密码只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0038(),,Yes,,Yes,"Shell下设置用户密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0039(),,Yes,,Yes,Shell下同时设置管理员密码，保留升级BIOS
FlashTest.flash_tool_0040(),,Yes,,Yes,Shell下同时设置管理员密码，用户密码，保留降级BIOS
FlashTest.flash_tool_0041(),,,,Yes,Shell下同时设置管理员密码，用户密码，完全升级BIOS
FlashTest.flash_tool_0042(),,,,Yes,Shell下同时设置管理员密码，用户密码，完全降级BIOS
FlashTest.flash_tool_0043(),,Yes,,Yes,"Shell下同时设置管理员密码，用户密码只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0044(),,Yes,,Yes,"Shell下同时设置管理员密码，用户密码,只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0045(),,,,Yes,"Shell下同时设置管理员密码，用户密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0046(),,,,Yes,"Shell下同时设置管理员密码，用户密码,只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0048(),,Yes,,Yes,"Shell下同时设置管理员密码，用户密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0049(),,Yes,,Yes,"Shell下设置管理员密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0050(),,Yes,,Yes,"Shell下设置用户密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0051(),,Yes,,Yes,"Shell下同时设置管理员密码，用户密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0101(),,Yes,Yes,Yes,Linux下检查Flash工具版本，帮助信息
FlashTest.flash_tool_0102(),,Yes,Yes,Yes,Linux保留升级BIOS
FlashTest.flash_tool_0103(),,Yes,Yes,Yes,Linux保留降级BIOS
FlashTest.flash_tool_0104(),,,Yes,Yes,Linux完全刷新升级BIOS
