Name,Group,Release,Daily,Weekly,Description
FlashTest.flash_tool_0027(),,,,,"Shell下设置管理员密码,更新OA3"
FlashTest.flash_tool_0028(),,Yes,,Yes,"Shell下设置管理员密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0029(),,Yes,,Yes,Shell下设置用户密码，保留升级BIOS
FlashTest.flash_tool_0030(),,Yes,,,Shell下设置用户密码，保留降级BIOS
FlashTest.flash_tool_0031(),,,,Yes,Shell下设置用户密码，完全升级BIOS
FlashTest.flash_tool_0032(),,,,,Shell下设置用户密码，完全降级BIOS
FlashTest.flash_tool_0033(),,Yes,,Yes,"Shell下设置用户只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0034(),,Yes,,,"Shell下设置用户密码只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0035(),,,,Yes,"Shell下设置用户密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0036(),,,,,"Shell下设置用户密码只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0037(),,,,,"Shell下设置用户密码,更新OA3"
FlashTest.flash_tool_0038(),,Yes,,Yes,"Shell下设置用户密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0039(),,Yes,,Yes,Shell下同时设置管理员，用户密码，保留升级BIOS
FlashTest.flash_tool_0040(),,Yes,,,Shell下同时设置管理员密码，用户密码，保留降级BIOS
FlashTest.flash_tool_0041(),,,,Yes,Shell下同时设置管理员密码，用户密码，完全升级BIOS
FlashTest.flash_tool_0042(),,,,,Shell下同时设置管理员密码，用户密码，完全降级BIOS
FlashTest.flash_tool_0043(),,Yes,,Yes
FlashTest.flash_tool_0044(),,Yes,,
FlashTest.flash_tool_0045(),,,,Yes
FlashTest.flash_tool_0046(),,,,
FlashTest.flash_tool_0047(),,,,Yes,"Shell下同时设置管理员密码，用户密码,更新OA3"
FlashTest.flash_tool_0048(),,Yes,,Yes,"Shell下同时设置管理员密码，用户密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0049(),,Yes,,Yes,"Shell下设置管理员密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0050(),,Yes,,Yes,"Shell下设置用户密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0051(),,Yes,,Yes,"Shell下同时设置管理员密码，用户密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0052(),,Yes,,Yes,"Shell下负面测试(错误BIOS,错误OA3,错误命令参数)"
FlashTest.flash_tool_0101(),,Yes,,Yes,Linux下检查Flash工具版本，帮助信息
FlashTest.flash_tool_0102(),,Yes,,,Linux保留升级BIOS
