Name,Group,Release,Daily,Weekly,Description
HddPswTest.hdd_password_5063(),,,,Yes,多硬盘密码输错测试(一个NVME，一个SATA)
HddPswTest.hdd_password_5064(),,,,Yes,多硬盘ESC跳过密码测试(一个NVME，一个SATA)
HddPswTest.hdd_password_5065(),,,,Yes,多硬盘密码输错测试(两个SATA)
HddPswTest.hdd_password_5066(),,,,Yes,多硬盘ESC跳过密码测试(两个SATA)
TpmTest.tpm(),,,,Yes,TPM
PXETest.pxe_retry_01(),,,,Yes,UEFI模式网络重试0次
PXETest.pxe_retry_02(),,,,Yes,UEFI模式网络重试n次
PXETest.pxe_retry_03(),,,,Yes,UEFI模式网络重试无限次
PXETest.pxe_retry_04(),,,,Yes,Leagacy模式网络重试0次
PXETest.pxe_retry_05(),,,,Yes,Legacy模式网络重试n次
PXETest.pxe_retry_06(),,,,Yes,Legacy模式网络重试无限次
