Name,Group,Release,Daily,Weekly
Custom.Testcase_UpgradeNoChange_003(),,,,Yes
Custom.Testcase_UpgradeNoChange_004(),,,,Yes
Custom.Testcase_UpgradeNoChange_005(),,,Yes,Yes
Custom.Testcase_Redfish_001(),,,Yes,Yes
Custom.Testcase_Redfish_004(),,,Yes,Yes
Equipment.Testcase_EquipmentTools_003(),equip,,Yes,Yes
Equipment.Testcase_Vddio_001(),,,Yes,Yes
Equipment.Testcase_Vddio_002(),equip,,Yes,Yes
Equipment.Testcase_Vddio_003(),equip,,Yes,Yes
Equipment.Testcase_EquipmentMode_003(),equip,,,Yes
Equipment.Testcase_EquipmentTools_008(),equip,,,Yes
Equipment.Testcase_EquipmentTools_009(),equip,,,Yes
Equipment.Testcase_EquipmentTools_001(),,,,Yes
Equipment.Testcase_EquipmentTools_006(),,,,Yes
Equipment.Testcase_EquipmentTools_007(),,,Yes,Yes
Equipment.Testcase_EquipmentTools_010(),equip,,Yes,Yes
Equipment.Testcase_EquipmentTools_011(),equip,,Yes,Yes
Equipment.Testcase_EquipmentTools_012(),equip,,,Yes
Equipment.Testcase_EquipmentTools_013(),equip,,Yes,Yes
Equipment.Testcase_EquipmentTools_014(),equip,,Yes,Yes
Equipment.Testcase_EquipmentTools_015(),equip,,Yes,Yes
Equipment.Testcase_EquipmentTools_016(),equip,,Yes,Yes
Equipment.Testcase_EquipmentTools_017(),equip,,Yes,Yes
Equipment.Testcase_EquipmentTools_028(),equip,,Yes,Yes
Equipment.Testcase_FtPxeBoot_001(),equip,,,Yes
Equipment.Testcase_FtPxeBoot_007(),equip,,,Yes
Equipment.Testcase_FtPxeBoot_008(),equip,,,Yes
